ags,plz,ort,kreis,bundesland,lat,lon,lat_kreis,lon_kreis,deprecated,einwohner,prim_plz
01053008,23919,Behlendorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.69858,10.668542,53.593666,10.664327,0,405,1
01053009,23919,Berkenthin,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.733807,10.639158,53.593666,10.664327,0,2171,1
01053010,23899,Besenthal,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.529907,10.741516,53.593666,10.664327,0,92,1
01053011,23847,Bliestorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.7667,10.6,53.593666,10.664327,0,631,0
01053012,21039,Börnsen,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.4762,10.28404,53.593666,10.664327,0,4773,0
01053013,23881,Borstorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.61388,10.562464,53.593666,10.664327,0,315,1
01053014,23881,Breitenfelde,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.60729,10.635204,53.593666,10.664327,0,2099,1
01053015,21514,Bröthen,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.479534,10.66614,53.593666,10.664327,0,330,1
01053016,23883,Brunsmark,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.61584,10.748999,53.593666,10.664327,0,156,1
01053017,21524,Brunstorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.493015,10.424587,53.593666,10.664327,0,783,1
01053018,23911,Buchholz,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.73739,10.74511,53.593666,10.664327,0,252,1
01053019,21481,Buchhorst,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.38465,10.5677185,53.593666,10.664327,0,147,1
01053020,21514,Büchen,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.483303,10.616695,53.593666,10.664327,0,6366,1
01053021,22946,Dahmker,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.588142,10.444314,53.593666,10.664327,0,157,0
01053022,21483,Dalldorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.43439,10.610347,53.593666,10.664327,0,354,1
01053023,21521,Dassendorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.49007,10.374987,53.593666,10.664327,0,3465,0
01053024,23847,Düchelsdorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.73644,10.582364,53.593666,10.664327,0,154,0
01053025,23898,Duvensee,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.696125,10.56759,53.593666,10.664327,0,554,1
01053026,23911,Einhaus,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.71327,10.728325,53.593666,10.664327,0,447,1
01053027,21493,Elmenhorst,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.546246,10.534435,53.593666,10.664327,0,881,1
01053028,21039,Escheburg,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.466625,10.310146,53.593666,10.664327,0,3496,0
01053029,21514,Fitzen,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.495796,10.648561,53.593666,10.664327,0,386,1
01053030,23909,Fredeburg,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.655582,10.725465,53.593666,10.664327,0,47,1
01053031,21493,Fuhlenhagen,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.57493,10.526034,53.593666,10.664327,0,389,1
01053032,21502,Geesthacht,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.43747,10.367824,53.593666,10.664327,0,32343,1
01053033,23909,Giesensdorf,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.68896,10.714393,53.593666,10.664327,0,175,1
01053034,23919,Göldenitz,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.722176,10.631178,53.593666,10.664327,0,231,1
01053035,21514,Göttin,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.531693,10.702647,53.593666,10.664327,0,61,1
01053036,21493,Grabau,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.513836,10.521246,53.593666,10.664327,0,363,1
01053037,23883,Grambek,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.573963,10.6794195,53.593666,10.664327,0,534,1
01053038,23847,Grinau,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.7749,10.548561,53.593666,10.664327,0,288,0
01053039,23847,Groß Boden,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.752045,10.45382,53.593666,10.664327,0,213,0
01053040,23911,Groß Disnack,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.740456,10.691594,53.593666,10.664327,0,84,1
01053041,23627,Groß Grönau,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.80373,10.750665,53.593666,10.664327,0,3764,1
01053042,21493,Groß Pampau,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.52167,10.561301,53.593666,10.664327,0,175,1
01053043,23627,Groß Sarau,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.77149,10.736302,53.593666,10.664327,0,1052,1
01053044,23860,Groß Schenkenberg,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.79334,10.56677,53.593666,10.664327,0,572,0
